model,tn,fp,fn,tp,accuracy,precision,recall,specificity,f1,mcc,auc,revenue,cost,profit,roi
LogisticRegression,906,108,75,1122,0.9172320217096337,0.9121951219512195,0.9373433583959899,0.893491124260355,0.9245982694684796,0.8332848890790029,0.9754287922304117,11220.0,1451.1,9768.9,673.21%
DecisionTree,889,125,53,1144,0.9194934418815016,0.9014972419227738,0.9557226399331662,0.8767258382642998,0.9278183292781832,0.8388168655602793,0.9689896997589306,11440.0,1490.1,9949.9,667.73%
Bagging,959,55,17,1180,0.9674355495251018,0.9554655870445344,0.985797827903091,0.9457593688362919,0.9703947368421053,0.9347967426411423,0.9961854010437007,11800.0,1456.1,10343.9,710.38%
RandomForest,930,84,37,1160,0.945273631840796,0.932475884244373,0.9690893901420217,0.9171597633136095,0.9504301515772224,0.8902222789085247,0.9912663809424943,11600.0,1465.1,10134.9,691.75%
GradientBoosting,923,91,60,1137,0.9317051108095884,0.9258957654723127,0.949874686716792,0.9102564102564102,0.9377319587628866,0.8624913728807312,0.9850324364494405,11370.0,1449.1,9920.9,684.62%
AdaBoost,898,116,77,1120,0.9127091813658977,0.9061488673139159,0.935672514619883,0.8856015779092702,0.9206740649404028,0.8242190204671439,0.97356268712544,11200.0,1457.1,9742.9,668.65%
