model,tn,fp,fn,tp,accuracy,precision,recall,specificity,f1,mcc,auc,revenue,cost,profit,roi
LogisticRegression,906,108,75,1122,0.9172320217096337,0.9121951219512195,0.9373433583959899,0.893491124260355,0.9245982694684796,0.8332848890790029,0.9754287922304117,11220.0,1451.1,9768.9,673.21%
DecisionTree,889,125,53,1144,0.9194934418815016,0.9014972419227738,0.9557226399331662,0.8767258382642998,0.9278183292781832,0.8388168655602793,0.9689896997589306,11440.0,1490.1,9949.9,667.73%
Bagging,959,55,17,1180,0.9674355495251018,0.9554655870445344,0.985797827903091,0.9457593688362919,0.9703947368421053,0.9347967426411423,0.9961854010437007,11800.0,1456.1,10343.9,710.38%
RandomForest,932,82,43,1154,0.9434644957033017,0.9336569579288025,0.9640768588137009,0.9191321499013807,0.9486230990546649,0.8863760231241691,0.990866795522666,11540.0,1457.1,10082.9,691.98%
GradientBoosting,923,91,64,1133,0.9298959746720941,0.9256535947712419,0.9465329991645781,0.9102564102564102,0.9359768690623709,0.8587976692495337,0.9848721903377773,11330.0,1445.1,9884.9,684.03%
AdaBoost,898,116,77,1120,0.9127091813658977,0.9061488673139159,0.935672514619883,0.8856015779092702,0.9206740649404028,0.8242190204671439,0.97356268712544,11200.0,1457.1,9742.9,668.65%
